id,fractal_id,symbol,direction,entry_price,sl_initial,volume_total,volume_per,status,source_timeframe,created_at
4233,868826,XAUUSDc,BUY,4102.34616,4065.984,0.02,0.02,closed,2H,2026-07-02T18:06:04.825734
4232,869176,XAUUSDc,BUY,4089.44904,4071.804,0.02,0.02,closed,15min,2026-07-02T18:00:24.028246
4231,868944,XAUUSDc,SELL,4122.36936,4144.297,0.02,0.02,closed,2H,2026-07-02T18:00:14.695932
4230,868941,XAUUSDc,SELL,4180.46072,4271.286,0.02,0.02,closed,2H,2026-07-02T18:00:13.334056
4229,868614,XAUUSDc,BUY,4107.38044,4099.045,0.02,0.02,closed,5min,2026-07-02T17:56:08.215463
4228,868610,XAUUSDc,BUY,4107.279039999999,4036.048,0.02,0.02,closed,5min,2026-07-02T17:56:07.275894
4227,868499,XAUUSDc,BUY,4109.06164,4093.627,0.02,0.02,closed,5min,2026-07-02T17:50:08.238814
4226,868466,XAUUSDc,BUY,4107.38044,4099.045,0.02,0.02,closed,5min,2026-07-02T17:50:06.821324
4225,868462,XAUUSDc,BUY,4107.279039999999,4036.048,0.02,0.02,closed,5min,2026-07-02T17:50:06.082451
4224,868318,XAUUSDc,BUY,4107.38044,4099.045,0.02,0.02,closed,5min,2026-07-02T17:46:12.409075
4223,868314,XAUUSDc,BUY,4107.279039999999,4036.048,0.02,0.02,closed,5min,2026-07-02T17:46:11.673622
4222,867836,XAUUSDc,BUY,4107.38044,4099.045,0.02,0.02,closed,5min,2026-07-02T17:42:21.993807
4221,867218,XAUUSDc,BUY,4080.3609599999995,3915.954,0.02,0.02,closed,2H,2026-07-02T17:42:16.143907
4220,865316,XAUUSDc,BUY,4109.06164,4093.627,0.02,0.02,closed,5min,2026-07-02T17:42:15.344051
4219,865284,XAUUSDc,BUY,4105.29312,4086.378,0.02,0.02,closed,5min,2026-07-02T17:42:14.543163
4218,865279,XAUUSDc,BUY,4107.279039999999,4036.048,0.02,0.02,closed,5min,2026-07-02T17:42:13.738767
4217,865626,XAUUSDc,BUY,4091.28024,4028.394,0.02,0.02,closed,30min,2026-07-02T17:42:12.931498
4216,865624,XAUUSDc,BUY,4066.5301999999997,4005.143,0.02,0.02,closed,30min,2026-07-02T17:42:12.118043
4215,865622,XAUUSDc,BUY,4093.963,3962.365,0.02,0.02,closed,30min,2026-07-02T17:42:11.005446
4214,865767,XAUUSDc,BUY,4076.8164,4027.212,0.02,0.02,closed,15min,2026-07-02T17:42:08.793203
4213,865763,XAUUSDc,BUY,4062.21232,3997.174,0.02,0.02,closed,15min,2026-07-02T17:42:07.709513
4212,867408,XAUUSDc,SELL,4117.351,4161.36,0.02,0.02,closed,2H,2026-07-02T17:40:22.988757
4211,867781,XAUUSDc,SELL,4114.942279999999,4120.521,0.02,0.02,closed,15min,2026-07-02T17:36:13.500338
4210,866628,XAUUSDc,SELL,4122.35716,4126.11,0.02,0.02,closed,5min,2026-07-02T17:16:20.230559
4209,866588,XAUUSDc,SELL,4119.21256,4120.521,0.02,0.02,closed,5min,2026-07-02T17:16:15.907244
4208,866297,XAUUSDc,SELL,4119.54148,4122.596,0.02,0.02,closed,5min,2026-07-02T17:10:17.719479
4207,866007,XAUUSDc,SELL,4119.54148,4122.596,0.02,0.02,closed,5min,2026-07-02T17:00:20.723376
4206,865968,XAUUSDc,SELL,4119.21256,4120.521,0.02,0.02,closed,5min,2026-07-02T17:00:17.910600
4205,864830,XAUUSDc,BUY,4109.06164,4093.627,0.02,0.02,closed,5min,2026-07-02T16:40:12.545051
4204,864798,XAUUSDc,BUY,4105.29312,4086.378,0.02,0.02,closed,5min,2026-07-02T16:40:10.985747
